dataset,scale_label,query_name,query_scale_phase_id,config_id,g_class,design_family,benchmark_group,run_phase,n_runs,n_success_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,avg_documents_returned,avg_documents_written,source_experiment_id,source_file
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,hot,10,10,0.3920787130482495,0.3897895221598446,0.4349461290985345,0.4514708835631609,0.3523200284689665,0.4556020721793175,0.026921434220925,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,hot,10,10,0.3805680084042251,0.374997965991497,0.4678220197092741,0.4843964369501918,0.314969103783369,0.4885400412604213,0.0500380066356406,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,hot,10,10,0.4053977783769369,0.3818380064330995,0.5632016051094977,0.6487275694962591,0.3244309918954968,0.6701090605929494,0.0950240130455417,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,cold,10,10,1.2330482015386224,1.0611044708639383,1.968263689195737,2.0096039480995387,0.928938970901072,2.019939012825489,0.3815059262816215,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g2__embed_containment_children,G2,embedded_containment,primary,cold,10,10,0.9925776976160704,0.9793624631129204,1.1454378021880982,1.215485199354589,0.877446960657835,1.2329970486462116,0.0918073477390901,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g3__association_references,G3,association_references,primary,cold,10,10,1.2432169052772224,1.1413239990361037,1.9377260003238903,2.369207600131631,0.96309301443398,2.4770780000835657,0.4245473023170125,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,deep_nested_document,primary,cold,10,10,1.1079632909968495,1.0837700101546943,1.3276010053232312,1.3312913896515963,0.9475400438532232,1.332213985733688,0.1241890638201028,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,cold,10,10,1.506536896340549,1.4668034855276346,1.8037318892311305,1.9004376360680908,1.2494790134951472,1.9246140727773309,0.1891141628725809,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,cold,10,10,1.4142032014206052,1.334264932665974,1.7693722096737468,1.982032869709656,1.2921420857310295,2.0351980347186327,0.2125334127129093,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::cold,q4_companies_reached_from_person_through_account_holding_listed_security__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,cold,10,10,1.3274991884827614,1.2802369892597198,1.5357711818069215,1.6143749933689833,1.2349229073151946,1.6340259462594986,0.1159026128795001,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,fiben::sf1::Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity::hot,q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,hot,10,10,0.9421383845619856,0.9395884699188172,1.0028332064393908,1.0065138258505613,0.8825669065117836,1.007433980703354,0.0401798359809762,53.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
