scale_label,query_name,candidate_id,final_benchmark_group,g_class,design_pattern,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,has_IXSCAN,has_COLLSCAN,has_GROUP,sum_estimated_docs_examined_bytes,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,primary,G1,embedded_descriptors,completed,3,21,21,21,True,False,False,8735.0,4095.0,corporations_with_descriptors;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g3__association_references,primary,G3,association_references,completed,4,13,13,13,True,False,False,37855.0,34530.0,corporations_with_references;countries;industries;listed_securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,4,13,13,13,True,False,False,38050.0,34725.0,corporations_shared_refs;countries;industries;listed_securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,2,11,11,11,True,False,False,41069.0,38109.0,corporations_update_aware;listed_securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
sf10,Q2_CompanyWithIndustryCountryAndListedSecurities,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,4,13,13,13,True,False,False,38048.0,34723.0,corporations_tradeoff;countries;industries;listed_securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q2_sf10_test_v2
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,4,43,43,48,True,False,False,10407.0,649.0,financial_service_accounts_normalized_baseline;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,primary,G2,embedded_containment,completed,3,41,41,45,True,False,False,10298.0,1018.0,financial_service_accounts_with_containment;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g3__association_references,primary,G3,association_references,completed,4,43,43,47,True,False,False,10347.0,589.0,financial_service_accounts_with_references;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,primary,G4,deep_nested_document,completed,3,41,41,45,True,False,False,10342.0,1062.0,financial_service_accounts_deep_nested;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,4,43,43,48,True,False,False,10404.0,646.0,financial_service_accounts_shared_refs;holdings;listed_securities;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q3_sf10_test_v1_param_only
